date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
2025-04-08,Punjab,Rupnagar,1,PM2.5,204,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-08,Punjab,Khanna,1,PM2.5,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Mandi Gobindgarh,1,PM2.5,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Rupnagar,1,PM2.5,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Khanna,1,PM2.5,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Bathinda,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Patiala,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Amritsar,1,NO2,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Jalandhar,1,PM10,107,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-07,Punjab,Ludhiana,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Khanna,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Bathinda,1,CO,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Amritsar,1,CO,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Patiala,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Rupnagar,1,PM2.5,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Ludhiana,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Mandi Gobindgarh,1,PM2.5,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-06,Punjab,Jalandhar,1,PM2.5,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Ludhiana,1,PM10,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Patiala,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Amritsar,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Mandi Gobindgarh,1,PM2.5,151,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Jalandhar,1,PM10,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Khanna,1,PM10,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-05,Punjab,Rupnagar,1,PM2.5,103,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Patiala,1,PM10,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Jalandhar,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Mandi Gobindgarh,1,PM2.5,144,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Ludhiana,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Amritsar,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Khanna,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Bathinda,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-04,Punjab,Rupnagar,1,PM2.5,124,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Khanna,1,PM10,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Mandi Gobindgarh,1,PM10,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Amritsar,1,CO,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Patiala,1,PM10,102,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Jalandhar,1,PM10,114,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Bathinda,1,CO,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Rupnagar,1,PM2.5,124,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-03,Punjab,Ludhiana,1,PM10,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Mandi Gobindgarh,1,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Patiala,1,PM2.5,156,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Jalandhar,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Ludhiana,1,PM10,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Rupnagar,1,PM2.5,176,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Khanna,1,PM2.5,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-02,Punjab,Amritsar,1,PM2.5,175,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Patiala,1,PM10,102,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Amritsar,1,PM2.5,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Rupnagar,1,PM2.5,117,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Khanna,1,CO,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Bathinda,1,CO,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Ludhiana,1,PM10,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Jalandhar,1,PM10,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-04-01,Punjab,Mandi Gobindgarh,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Bathinda,1,CO,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Amritsar,1,PM2.5,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Ludhiana,1,PM10,119,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Patiala,1,O3,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Mandi Gobindgarh,1,PM10,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Khanna,1,CO,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-31,Punjab,Jalandhar,1,PM10,83,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Amritsar,1,PM2.5,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Mandi Gobindgarh,1,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Bathinda,1,CO,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Khanna,1,CO,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Jalandhar,1,PM10,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Patiala,1,O3,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-30,Punjab,Ludhiana,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-29,Punjab,Bathinda,1,CO,137,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
2025-03-29,Punjab,Jalandhar,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
