date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note,fireCount
2022-05-02,Punjab,Bathinda,1.0,PM10,274.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,155.0
2022-05-02,Punjab,Jalandhar,1.0,PM10,144.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,26.0
2022-05-02,Punjab,Ludhiana,1.0,PM2.5,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,114.0
2022-05-02,Punjab,Patiala,1.0,PM10,154.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,12.0
2022-05-02,Punjab,Rupnagar,1.0,PM10,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-05-03,Punjab,Amritsar,1.0,PM10,124.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,57.0
2022-05-03,Punjab,Bathinda,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,84.0
2022-05-03,Punjab,Jalandhar,1.0,PM10,136.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-05-03,Punjab,Ludhiana,1.0,PM2.5,175.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,17.0
2022-05-03,Punjab,Patiala,1.0,PM10,149.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,8.0
2022-05-03,Punjab,Rupnagar,1.0,PM10,81.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-05-04,Punjab,Amritsar,1.0,PM10,121.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,134.0
2022-05-04,Punjab,Bathinda,1.0,PM10,95.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,54.0
2022-05-04,Punjab,Jalandhar,1.0,PM10,126.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,27.0
